epoch,fold,timestamp,seconds,lr,cap_loss,clip_loss,val_loss,b1,b4,meteor,cider,is_best
161,1,2026-09-08 03:49:18,202.9,0.0001,5.6047,0.0000,,,,,,0
162,2,2026-09-08 03:55:39,203.9,0.0001,5.6034,0.0000,,0.0046,0.0001,,0.0000,0
163,3,2026-09-08 03:59:03,203.7,0.0001,5.5939,0.0000,,,,,,0
164,4,2026-09-08 04:02:29,203.6,0.0001,5.7076,0.0000,,,,,,0
165,5,2026-09-08 04:07:39,308.8,5e-05,5.7427,0.0000,5.6818,,,,,0
166,6,2026-09-08 04:11:03,203.9,0.0001,5.6700,0.0000,,,,,,0
167,7,2026-09-08 04:14:30,205.1,0.0001,5.6028,0.0000,,,,,,0
168,8,2026-09-08 04:20:15,203.6,0.0001,5.6039,0.0000,,0.0001,0.0000,,0.0000,0
169,9,2026-09-08 04:23:39,202.9,0.0001,5.6844,0.0000,,,,,,0
170,10,2026-09-08 04:27:02,202.4,0.0001,5.6972,0.0000,,,,,,0
171,11,2026-09-08 04:30:26,202.7,0.0001,5.6972,0.0000,,,,,,0
172,12,2026-09-08 04:33:49,201.9,0.0001,5.7564,0.0000,,,,,,0
173,13,2026-09-08 04:37:13,203.1,0.0001,5.7259,0.0000,,,,,,0
174,14,2026-09-08 04:42:59,204.0,0.0001,5.7420,0.0000,,0.0000,0.0000,,0.0000,0
175,15,2026-09-08 04:46:24,203.4,0.0001,5.7632,0.0000,,,,,,0
176,16,2026-09-08 04:49:47,202.6,0.0001,5.7525,0.0000,,,,,,0
177,17,2026-09-08 04:53:10,201.2,0.0001,5.7527,0.0000,,,,,,0
178,18,2026-09-08 04:56:32,201.8,0.0001,5.7396,0.0000,,,,,,0
179,19,2026-09-08 04:59:55,201.0,0.0001,5.7584,0.0000,,,,,,0
180,20,2026-09-08 05:06:41,307.7,0.0001,5.7775,0.0000,5.6709,,,,0.0000,0
181,1,2026-09-08 05:10:06,203.3,0.0001,5.7656,0.0000,,,,,,0
182,2,2026-09-08 05:13:30,203.0,0.0001,5.7452,0.0000,,,,,,0
183,3,2026-09-08 05:16:53,201.9,0.0001,5.7812,0.0000,,,,,,0
