epoch,fold,timestamp,seconds,lr,cap_loss,clip_loss,val_loss,b1,b4,meteor,cider,is_best
167,7,2026-09-08 11:52:57,425.5,0.0001,6.5023,0.0000,,,,,,0
168,8,2026-09-08 12:01:32,414.0,0.0001,7.0046,0.0000,,0.0000,0.0000,,0.0000,0
169,9,2026-09-08 12:08:36,420.9,0.0001,7.2410,0.0000,,,,,,0
170,10,2026-09-08 12:15:58,439.7,0.0001,7.3240,0.0000,,,,,,0
171,11,2026-09-08 12:22:40,399.3,0.0001,7.2513,0.0000,,,,,,0
172,12,2026-09-08 12:27:24,281.0,0.0001,7.1782,0.0000,,,,,,0
173,13,2026-09-08 12:33:43,376.4,0.0001,7.1756,0.0000,,,,,,0
174,14,2026-09-08 12:41:52,368.5,0.0001,7.1712,0.0000,,,,,0.0000,0
175,15,2026-09-08 12:46:36,282.1,0.0001,7.1781,0.0000,,,,,,0
176,16,2026-09-08 12:52:33,353.7,0.0001,7.2166,0.0000,,,,,,0
177,17,2026-09-08 12:58:46,370.3,0.0001,7.2409,0.0000,,,,,,0
178,18,2026-09-08 13:05:28,398.7,0.0001,7.2880,0.0000,,,,,,0
179,19,2026-09-08 13:12:50,439.5,0.0001,7.4130,0.0000,,,,,,0
180,20,2026-09-08 13:26:55,619.9,0.0001,7.5964,0.0000,7.5463,0.0210,0.0002,,0.0000,0
181,1,2026-09-08 13:31:55,297.5,0.0001,7.6050,0.0000,,,,,,0
182,2,2026-09-08 13:37:45,347.3,0.0001,7.6387,0.0000,,,,,,0
183,3,2026-09-08 13:43:46,358.6,0.0001,7.8335,0.0000,,,,,,0
184,4,2026-09-08 13:49:24,335.9,0.0001,8.5365,0.0000,,,,,,0
185,5,2026-09-08 13:55:33,366.2,0.0001,10.2980,0.0000,,,,,,0
186,6,2026-09-08 14:06:43,431.8,0.0001,10.9503,0.0000,,0.0221,0.0002,,0.0000,0
187,7,2026-09-08 14:11:40,294.5,0.0001,12.2947,0.0000,,,,,,0
188,8,2026-09-08 14:17:47,363.5,0.0001,12.9732,0.0000,,,,,,0
189,9,2026-09-08 14:24:20,390.4,0.0001,13.4048,0.0000,,,,,,0
191,11,2026-09-08 16:21:30,342.2,0.0001,13.9837,0.0000,,,,,,0
192,12,2026-09-08 16:28:14,273.2,0.0001,14.3844,0.0000,,0.0000,0.0000,,0.0000,0
193,13,2026-09-08 16:32:49,271.8,0.0001,14.1805,0.0000,,,,,,0
194,14,2026-09-08 16:38:03,311.1,0.0001,14.6848,0.0000,,,,,,0
195,15,2026-09-08 16:47:18,553.0,5e-05,15.1805,0.0000,15.5898,,,,,0
196,16,2026-09-08 16:52:59,337.9,0.0001,16.6688,0.0000,,,,,,0
197,17,2026-09-08 16:59:02,360.7,0.0001,17.2620,0.0000,,,,,,0
198,18,2026-09-08 17:08:49,383.3,0.0001,17.8605,0.0000,,0.0056,0.0001,,0.0000,0
199,19,2026-09-08 17:13:28,276.6,0.0001,18.2399,0.0000,,,,,,0
200,20,2026-09-08 17:18:58,326.8,0.0001,18.1050,0.0000,,,,,,0
201,1,2026-09-08 17:25:24,383.2,0.0001,18.3749,0.0000,,,,,,0
